questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanation
mcsc,markdown,What was the primary cause of the French Revolution?,,,,,,1,,High taxes and economic inequality,Desire for democratic reforms,Influence of the Enlightenment philosophers,Conflict between the monarchy and the Catholic Church,,,Medium,"The French Revolution was primarily driven by economic factors, including high taxes, food shortages, and a wide gap between the wealthy nobility and the impoverished peasantry."
mcsc,markdown,What was the significance of the storming of the Bastille?,,,,,,4,,It marked the beginning of the French Revolution,It led to the abolition of the monarchy,It resulted in the execution of King Louis XVI,It was a symbolic act of defiance against the government,,,Easy,"The storming of the Bastille on July 14, 1789, was a symbolic act of defiance against the French monarchy and its oppressive policies. It marked the start of the French Revolution and became a powerful symbol of the people's uprising against the established order."
mcsc,markdown,What was the Reign of Terror during the French Revolution?,,,,,,3,,A period of political and social stability,A time of increased religious freedom,A phase of violent suppression of political opponents,The final stage of the revolution before the establishment of a republic,,,Hard,"The Reign of Terror was a period of violent suppression of political opponents and perceived enemies of the revolution, led by Maximilien Robespierre and the Jacobins. It was characterized by mass executions, political purges, and a climate of fear and suspicion."
mcsc,markdown,Who was the leader of the Jacobins during the French Revolution?,,,,,,3,,Napoleon Bonaparte,King Louis XVI,Maximilien Robespierre,Georges Danton,,,Medium,"Maximilien Robespierre was the leader of the Jacobins, a radical political group that played a dominant role during the French Revolution. He was a key figure in the Reign of Terror and was eventually executed by his own supporters."
mcsc,markdown,What was the outcome of the French Revolution?,,,,,,3,,The establishment of a constitutional monarchy,The complete overthrow of the French monarchy,The creation of a democratic republic,The rise of a military dictatorship under Napoleon,,,Easy,"The French Revolution ultimately led to the establishment of the First French Republic, a democratic form of government that replaced the monarchy. This was a significant outcome of the revolution, which had aimed to overthrow the old social and political order."
mcmc,markdown,What were some of the key causes of the French Revolution?,,,,,,,,Economic inequality and high taxes,Influence of Enlightenment ideas,Resentment towards the monarchy and nobility,Crop failures and famine,"0, 1, 2",,Medium,"The French Revolution was sparked by a combination of economic, social, and political factors, including high taxes, economic inequality, the influence of Enlightenment ideas, and resentment towards the monarchy and nobility."
mcmc,markdown,What was the significance of the Storming of the Bastille?,,,,,,,,It marked the beginning of the French Revolution,It led to the abolition of the monarchy,It resulted in the execution of King Louis XVI,It was a symbolic act of defiance against the government,"0, 3",,Easy,"The Storming of the Bastille on July 14, 1789, was a pivotal event that marked the beginning of the French Revolution. It was a symbolic act of defiance against the government and its oppressive policies."
mcmc,markdown,What were the key features of the Reign of Terror during the French Revolution?,,,,,,,,Mass executions of suspected enemies of the revolution,Establishment of a new republican government,Suppression of political dissent and opposition,Expansion of civil liberties and individual rights,"0, 1, 2",,Hard,"The Reign of Terror was a period of violence and repression during the French Revolution, characterized by mass executions of suspected enemies of the revolution and the suppression of political dissent and opposition."
mcmc,markdown,Which of the following were consequences of the French Revolution?,,,,,,,,The establishment of a constitutional monarchy,The abolition of the feudal system and privileges of the nobility,The rise of Napoleon Bonaparte as a military dictator,The spread of democratic ideals and the concept of popular sovereignty,"1, 2, 3",,Medium,"The French Revolution had far-reaching consequences, including the abolition of the feudal system, the rise of Napoleon Bonaparte, and the spread of democratic ideals and the concept of popular sovereignty."
mcmc,markdown,What were the key goals of the French Revolution?,,,,,,,,Overthrow the monarchy and establish a republic,Reduce economic inequality and redistribute wealth,Expand civil liberties and individual rights,Maintain the status quo and preserve the existing social order,"0, 1, 2",,Medium,"The key goals of the French Revolution were to overthrow the monarchy, reduce economic inequality, and expand civil liberties and individual rights, ultimately leading to the establishment of a republic."
subjective,markdown,Describe the key social and economic factors that led to the outbreak of the French Revolution. Discuss how these factors created the conditions for revolutionary change.,,,,,,,"The key factors that led to the French Revolution included:
- Economic hardship and famine among the lower classes due to poor harvests, high food prices, and heavy taxation
- Resentment towards the privileges and extravagance of the French nobility and clergy
- Influence of Enlightenment ideas about individual rights, equality, and representative government
- Dissatisfaction with the absolute monarchy of King Louis XVI and his ineffective leadership
- Growing sense of national identity and desire for more political participation among the French people

These factors created widespread discontent and a revolutionary atmosphere, setting the stage for the dramatic events of 1789 such as the Storming of the Bastille.",,,,,,,Medium,"This question asks the student to demonstrate their understanding of the complex social, economic, and political factors that contributed to the outbreak of the French Revolution. A strong answer will identify and explain the key drivers of revolutionary sentiment, showing how they created the conditions for the revolutionary upheaval that followed."
subjective,markdown,Describe the significance of the Storming of the Bastille and explain how it became a symbolic event of the French Revolution.,,,,,,,"The Storming of the Bastille on July 14, 1789 was a pivotal event in the early stages of the French Revolution. The Bastille was a fortress and prison that had become a symbol of the absolute power of the French monarchy. When a crowd of Parisians, angered by food shortages and the actions of the king, stormed and captured the Bastille, it marked the start of the revolutionary period.

The Storming of the Bastille was significant for several reasons:
- It was a dramatic display of popular resistance against the monarchy and its oppressive policies
- It provided the revolutionaries with a large supply of weapons and ammunition to continue their fight
- It galvanized the revolutionary spirit and inspired further uprisings across France
- The date of July 14th became a national holiday (Bastille Day) that continues to be celebrated in France as a symbol of the country's democratic values

Overall, the Storming of the Bastille became a powerful symbolic event that encapsulated the revolutionary fervor and the people's desire to overthrow the old order and establish a new, more equitable system of government.",,,,,,,Medium,"This question focuses on the significance and symbolic importance of the Storming of the Bastille, a pivotal early event in the French Revolution. A strong answer will explain how this dramatic action captured the revolutionary spirit, provided material resources for the revolutionaries, and became an enduring symbol of France's democratic ideals."
