questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanation
mcsc,markdown,What is the sum of 12 and 15?,,,,,,1,,21,27,33,45,,,Medium,"To find the sum of 12 and 15, we add the two numbers together: 12 + 15 = 27. Therefore, the correct answer is 27."
mcsc,markdown,"If John has 8 apples and Mary has 6 apples, how many apples do they have in total?",,,,,,4,,10,12,14,18,,,Medium,"John has 8 apples and Mary has 6 apples. To find the total, we add the two numbers together: 8 + 6 = 14. Therefore, the correct answer is 14."
mcsc,markdown,What is the result of 25 + 18?,,,,,,3,,37,40,43,48,,,Medium,"To find the result of 25 + 18, we add the two numbers together: 25 + 18 = 43. Therefore, the correct answer is 43."
mcsc,markdown,"If a student has 7 pencils and buys 5 more, how many pencils does the student have in total?",,,,,,3,,10,12,15,20,,,Medium,"The student originally had 7 pencils. They then bought 5 more. To find the total, we add the original 7 pencils and the 5 new pencils: 7 + 5 = 12. Therefore, the correct answer is 12."
mcmc,markdown,What is the sum of 12 and 15?,,,,,,,,20,27,18,23,"1, 3",,Medium,"The sum of 12 and 15 is 27. Additionally, 12 + 15 = 18, which is also a correct answer."
mcmc,markdown,What is the result of adding 8 and 9?,,,,,,,,17,14,12,11,"1, 2",,Medium,"The sum of 8 and 9 is 17. Additionally, 8 + 9 = 14, which is also a correct answer."
mcmc,markdown,What is the sum of 6 and 11?,,,,,,,,17,13,10,15,"1, 4",,Medium,"The sum of 6 and 11 is 17. Additionally, 6 + 11 = 15, which is also a correct answer."
mcmc,markdown,What is the result of adding 5 and 7?,,,,,,,,12,10,8,14,"1, 4",,Medium,"The sum of 5 and 7 is 12. Additionally, 5 + 7 = 14, which is also a correct answer."
subjective,markdown,Calculate the sum of 12 and 15.,,,,,,,27,,,,,,,Medium,"To calculate the sum of 12 and 15, we add the two numbers together: 12 + 15 = 27. Therefore, the sum of 12 and 15 is 27."
subjective,markdown,"If Samantha has 8 apples and her friend gives her 5 more, how many apples does Samantha have in total?",,,,,,,13,,,,,,,Medium,"Samantha originally had 8 apples. Her friend then gave her 5 more apples. To find the total number of apples Samantha has, we add the original 8 apples and the 5 new apples: 8 + 5 = 13. Therefore, Samantha has 13 apples in total."
subjective,markdown,"If a bakery sells 18 cupcakes in the morning and 12 cupcakes in the afternoon, how many cupcakes did they sell in total?",,,,,,,30,,,,,,,Medium,"The bakery sold 18 cupcakes in the morning and 12 cupcakes in the afternoon. To find the total number of cupcakes sold, we add these two numbers together: 18 + 12 = 30. Therefore, the bakery sold a total of 30 cupcakes."
subjective,markdown,"A farmer has 24 chickens. If 7 chickens are taken away, how many chickens does the farmer have left?",,,,,,,17,,,,,,,Medium,"The farmer originally had 24 chickens. 7 chickens were then taken away. To find the number of chickens the farmer has left, we subtract the 7 chickens that were taken away from the original 24 chickens: 24 - 7 = 17. Therefore, the farmer has 17 chickens left."
